Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
AAI 551_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 222,Joseph Helsing
AAI 551_B,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 222,Joseph Helsing
AAI 551_C,"Monday, May 13, 2024",11:30 AM,2:30 PM,Kidde 360,Joseph Helsing
AAI 627_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Carnegie 316,Yu-Dong Yao
AAI 646_A,"Wednesday, May 8, 2024",3:00 PM,6:00 PM,Gateway North 204,Hong Man
AAI 695_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Burchard 111,Shucheng Yu
AAI 695_B,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Gateway North 204,Jiarui Li
ACC 200_A,"Tuesday, May 7, 2024",8:00 AM,11:00 AM,Babbio 321,Elaine Henry
ACC 200_B,"Friday, May 10, 2024",7:00 PM,10:00 PM,Babbio 104,Ryan Wynne
ACC 200_C,"Friday, May 10, 2024",7:00 PM,10:00 PM,Babbio 122,Ryan Wynne
ACC 200_D,"Friday, May 10, 2024",7:00 PM,10:00 PM,Babbio 122,Ryan Wynne
ACC 215_A,"Tuesday, May 14, 2024",11:30 AM,2:30 PM,Carnegie 315,Jing Chen
ACC 215_B,"Tuesday, May 14, 2024",11:30 AM,2:30 PM,Carnegie 316,Jing Chen
ACC 215_C,"Tuesday, May 14, 2024",11:30 AM,2:30 PM,Gateway South 122,Joon Ho Kong
ACC 215_D,"Tuesday, May 14, 2024",11:30 AM,2:30 PM,Gateway South 122,Joon Ho Kong
ACC 312_A,"Saturday, May 4, 2024",8:00 AM,11:00 AM,Babbio 203,Frank Manzi
ACC 421_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,North Building 104,Arion Cheong
ACC 510_A,"Thursday, May 9, 2024",3:00 PM,6:00 PM,Gateway South 122,Frank Manzi
ACC 510_B,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Gateway South 122,Frank Manzi
BIA 500_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,McLean 211,Gerry Libby
BIA 500_B,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Library B15,Brian Mueller
BIA 652_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Gateway North 213,Choudur Lakshminarayan
BIA 652_B,"Monday, May 13, 2024",11:30 AM,2:30 PM,Burchard 103,Choudur Lakshminarayan
BIA 654_B,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Martha Bayard Stevens Hall 203,Choudur Lakshminarayan
BIA 672_B,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Gateway South 216,Khashayar Dehnad
BIA 672_C,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Library B15,Khashayar Dehnad
BIO 101_A,"Wednesday, May 8, 2024",3:00 PM,6:00 PM,Peirce 116,Faith Kim
,Day and Date,Start Time,End Time,Building and Room(s),Instructor
BIO 101_B,"Saturday, May 4, 2024",8:00 AM,11:00 AM,Kidde 360,Denver Baptiste
BIO 291_A,"Saturday, May 4, 2024",8:00 AM,11:00 AM,Howe 303 (Fielding),Marcin Iwanicki
BIO 382_A,"Tuesday, May 7, 2024",8:00 AM,11:00 AM,Morton 103,Paola DiMarzio
BIO 392_A,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,Gateway South 121,Brunella Taddeo
BIO 508_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Babbio 220,Paola DiMarzio
BIO 508_A_U,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Babbio 220,Paola DiMarzio
BIO 526_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Babbio 221,Marcin Iwanicki
BIO 526_A_U,"Monday, May 13, 2024",11:30 AM,2:30 PM,Babbio 221,Marcin Iwanicki
BIO 586_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Babbio 319,Ansu Perekatt
BIO 690_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Babbio 310,William Windsor
BME 322_A,"Monday, May 6, 2024",8:00 AM,11:00 AM,Edwin A. Stevens 222,Peter Popolo
BME 343_A,"Wednesday, May 8, 2024",3:00 PM,6:00 PM,Gateway South 122,Carrie Perlman
BME 343_B,"Wednesday, May 8, 2024",3:00 PM,6:00 PM,Gateway South 122,Carrie Perlman
BME 465_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Babbio 219,Shang Wang
BME 503_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Burchard 514,George McConnell
BME 503_A_U,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Burchard 514,George McConnell
BME 503_B,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Burchard 514,Becky Tucci
BME 503_B_U,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Burchard 514,Becky Tucci
BME 556_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Babbio 122,Raviraj Nataraj
BME 556_A_U,"Monday, May 13, 2024",11:30 AM,2:30 PM,Babbio 122,Raviraj Nataraj
BME 556_B_U,"Monday, May 13, 2024",11:30 AM,2:30 PM,Babbio 122,Raviraj Nataraj
BME 561_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,North Building 101,Antonia Zaferiou
BME 690_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Babbio 310,William Windsor
BT 243_D,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Babbio 104,Mario Gonzalez-Corzo
BT 243_E,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Babbio 320,Mario Gonzalez-Corzo
BT 243_F,"Saturday, May 4, 2024",11:30 AM,2:30 PM,Babbio 319,Jorge Medina
BT 244_A,"Friday, May 10, 2024",8:00 AM,11:00 AM,Gateway North 204,Justine Herve
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
BT 244_B,"Friday, May 10, 2024",8:00 AM,11:00 AM,Gateway North 204,Justine Herve
BT 244_C,"Friday, May 10, 2024",8:00 AM,11:00 AM,Babbio 122,Jorge Medina
BT 244_D,"Friday, May 10, 2024",8:00 AM,11:00 AM,Babbio 122,Jorge Medina
BT 301_A,"Monday, May 13, 2024",3:00 PM,6:00 PM,McLean 106,Jose Tribo Gine
BT 301_B,"Monday, May 13, 2024",3:00 PM,6:00 PM,McLean 106,Jose Tribo Gine
BT 301_C,"Monday, May 13, 2024",3:00 PM,6:00 PM,Burchard 111,Sohyun Park
BT 301_D,"Monday, May 13, 2024",3:00 PM,6:00 PM,Burchard 111,Sohyun Park
BT 301_E,"Monday, May 13, 2024",3:00 PM,6:00 PM,Burchard 111,Sohyun Park
BT 360_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Babbio 321,Jorge Medina
BT 413_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Babbio 122,Robert Stein
BT 425_A,"Friday, May 10, 2024",7:00 PM,10:00 PM,Babbio 319,Jonathan Kaufman
BT 425_B,"Friday, May 10, 2024",7:00 PM,10:00 PM,"Babbio 320, 321",Jonathan Kaufman
BT 426_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Babbio 319,Jonathan Kaufman
BT 442_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 330,Stefano Bonini
BT 445_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Burchard 104,Hyewon Oh
CE 240_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Gateway South 122,Santhi Sri Jagupilla
CE 240_B,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Gateway South 122,Santhi Sri Jagupilla
CE 261_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Babbio 104,Khondokar Billah
CE 304_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Gateway North 103,Marouane Temimi
CE 322_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Peirce 120,Yi Bao
CE 342_A,"Monday, May 6, 2024",8:00 AM,11:00 AM,Burchard 104,An Wang
CE 365_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Burchard 104,Kaijian Liu
CE 373_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 229A,Khondokar Billah
CE 399_A,"Monday, May 6, 2024",3:00 PM,6:00 PM,Gateway South 021,Mohammad Ilbeigi
CE 399_B,"Monday, May 6, 2024",3:00 PM,6:00 PM,Burchard 715,Mohammad Ilbeigi
CE 483_A,"Friday, May 10, 2024",8:00 AM,11:00 AM,Gateway South 216,Santhi Sri Jagupilla
CE 484_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Peirce 120,Weina Meng
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
CE 486_A,"Thursday, May 9, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 230,Ronghuan Xu
CE 530_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Babbio 304,Dimitri Donskoy
CE 537_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Babbio 219,Mohammad Jamous
CE 546_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Gateway South 024,Kaijian Liu
CE 578_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,McLean 105,Jon Miller
CE 621_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Babbio 310,Ronghuan Xu
CE 681_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Burchard 514,Tom Panayotidi
CH 115_A,"Monday, May 6, 2024",3:00 PM,6:00 PM,McLean 104,Anju Sharma
CH 116_A,"Monday, May 6, 2024",3:00 PM,6:00 PM,Babbio 104,Jeffrey Raab
CH 116_B,"Monday, May 6, 2024",3:00 PM,6:00 PM,Burchard 111,Rahul Khade
CH 116_C,"Monday, May 6, 2024",3:00 PM,6:00 PM,Gateway South 216,Patricia Anne Muisener
CH 116_D,"Monday, May 6, 2024",3:00 PM,6:00 PM,Babbio 104,Jeffrey Raab
CH 116_F,"Monday, May 6, 2024",3:00 PM,6:00 PM,Burchard 111,Rahul Khade
CH 116_S,"Monday, May 6, 2024",3:00 PM,6:00 PM,McLean 104,Anju Sharma
CH 244_A,"Saturday, May 11, 2024",11:30 AM,2:30 PM,Gateway South 122,Abhishek Sharma
CH 321_A,"Saturday, May 4, 2024",8:00 AM,11:00 AM,Gateway South 021,Jeffrey Raab
CH 412_A,"Saturday, May 4, 2024",11:30 AM,2:30 PM,Burchard 430,Sunil Paliwal
CH 461_A,"Monday, May 6, 2024",8:00 AM,11:00 AM,Gateway South 024,Athula Attygalle
CH 509_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Gateway South 216,Geatesh Tampy
CH 520_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Peirce 116,Rahul Khade
CH 520_A_U,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Peirce 116,Rahul Khade
CH 581_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Peirce 120,Nicholas Murgolo
CH 581_A_U,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Peirce 120,Nicholas Murgolo
CH 582_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Burchard 104,Kwahun Lee
CH 582_A_U,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Burchard 104,Kwahun Lee
CH 662_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Gateway South 025,Athula Attygalle
CH 669_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Babbio 310,Yong Zhang
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
CH 685_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Gateway North 213,Sesha Sridevi Alluri
CHE 233_A,"Wednesday, May 8, 2024",3:00 PM,6:00 PM,Edwin A. Stevens 230,Benjamin Paren
CHE 322_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Gateway North 204,Yujun Zhao
CHE 342_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,McLean 106,Adeniyi Lawal
CHE 345_A,"Thursday, May 9, 2024",3:00 PM,6:00 PM,Edwin A. Stevens 230,Simon Podkolzin
CHE 351_A,"Thursday, May 9, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 330,Pin-Kuang Lai
CHE 424_A,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,McLean 106,Yujun Zhao
CHE 509_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Gateway South 216,Geatesh Tampy
CHE 535_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,McLean 105,Leonid Shnayder
CHE 543_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,North Building 104,Jose Tabora
CHE 560_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 329,Pinar Akcora
CHE 633_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Peirce 216,Pin-Kuang Lai
CHE 650_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Peirce 220,Alyssa Hensley
CM 501_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,McLean 211,Karim Karam
CM 512_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Peirce 120,Karim Karam
CM 529_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Kidde 360,Mohammad Ilbeigi
CM 550_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Babbio 210,James Valenti
CM 587_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Gateway South 025,Angelo Elmi
CM 592_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Babbio 122,Karim Karam
CM 605_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 229,Joseph Schwed
CPE 181_A,"Saturday, May 4, 2024",3:00 PM,6:00 PM,McLean 114,Yu-Dong Yao
CPE 345_A,"Monday, May 6, 2024",3:00 PM,6:00 PM,McLean 211,Cristina Comaniciu
CPE 345_B,"Monday, May 13, 2024",7:00 PM,10:00 PM,Gateway South 021,Shirantha Welikala
CPE 359_B,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Peirce 120,Rod Kim
CPE 360_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Martha Bayard Stevens 104,Md Abu Sayeed
CPE 390_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Kidde 360,Bernard Yett
CPE 441_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,McLean 106,Tewodros Zewde
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
CPE 442_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Gateway South 216,Samuel Kim
CPE 462_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,McLean 104,Hong Man
CPE 471_A,"Friday, May 10, 2024",3:00 PM,6:00 PM,McLean 114,Robert Pastore
CPE 487_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Library B15,Bernard Yett
CPE 488_A,"Friday, May 10, 2024",3:00 PM,6:00 PM,Babbio 104,Reza Peyrovian
CPE 490_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Babbio 220,Xiaojiang Du
CPE 517_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 330,Md Abu Sayeed
CPE 548_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,McLean 414,Hongbin Li
CPE 550_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Peirce 116,Xiaodong Yu
CPE 551_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 222,Joseph Helsing
CPE 551_B,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 222,Joseph Helsing
CPE 551_C,"Monday, May 13, 2024",11:30 AM,2:30 PM,Kidde 360,Joseph Helsing
CPE 552_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Burchard 714,Md Abu Sayeed
CPE 555_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,McLean 211,Tewodros Zewde
CPE 556_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Library B12,Mahmoud Al-Quzwini
CPE 590_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,North Building 105,In Suk Jang
CPE 593_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Gateway South 122,Md Abu Sayeed
CPE 602_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Burchard 430,Koduvayur Subbalakshmi
CPE 631_A,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Babbio 202,Yi Guo
CPE 646_A,"Wednesday, May 8, 2024",3:00 PM,6:00 PM,Gateway North 204,Hong Man
CPE 690_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,North Building 105,Zhuo Feng
CPE 695_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Burchard 111,Shucheng Yu
CPE 695_B,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Gateway North 204,Jiarui Li
CPE 810_A,"Wednesday, May 8, 2024",3:00 PM,6:00 PM,Morton 105,Zhuo Feng
CS 115_A,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,Gateway North 103,Erisa Terolli
CS 115_QA,"Friday, May 10, 2024",11:30 AM,2:30 PM,Gateway North 103,Kevin Ryan
CS 135_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Gateway South 122,William Eiers
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
CS 135_B,"Monday, May 13, 2024",8:00 AM,11:00 AM,Gateway South 122,Jacek Ossowski
CS 135_C,"Monday, May 13, 2024",8:00 AM,11:00 AM,Kidde 228,Jacek Ossowski
CS 135_D,"Monday, May 13, 2024",8:00 AM,11:00 AM,Burchard 111,Jacek Ossowski
CS 188_A,"Saturday, May 11, 2024",3:00 PM,6:00 PM,Burchard 102,Erisa Terolli
CS 284_C,"Saturday, May 4, 2024",11:30 AM,2:30 PM,Kidde 228,Zumrut Akcam-Kibis
CS 284_D,"Saturday, May 4, 2024",3:00 PM,6:00 PM,Burchard 104,Abrar Alrumayh
CS 284_E,"Wednesday, May 8, 2024",3:00 PM,6:00 PM,Burchard 103,Abrar Alrumayh
CS 284_F,"Saturday, May 4, 2024",8:00 AM,11:00 AM,Burchard 103,Abrar Alrumayh
CS 284_QA,"Monday, May 6, 2024",8:00 AM,11:00 AM,Gateway South 216,Patrick Zielinski
CS 347_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Kidde 228,Reza Peyrovian
CS 347_B,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Burchard 111,Reza Peyrovian
CS 385_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Kidde 360,Christian Lim
CS 392_E,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,Babbio 321,Philippos Mordohai
CS 396_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Carnegie 316,Tegan Brennan
CS 442_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Gateway South 216,Samuel Kim
CS 488_A,"Friday, May 10, 2024",3:00 PM,6:00 PM,Babbio 104,Reza Peyrovian
CS 492_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Kidde 228,Philippe Meunier
CS 492_B,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Kidde 228,Philippe Meunier
CS 492_C,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Kidde 228,Philippe Meunier
CS 492_D,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Kidde 228,Philippe Meunier
CS 496_A,"Monday, May 6, 2024",8:00 AM,11:00 AM,Babbio 122,Eduardo Bonelli
CS 496_B,"Saturday, May 4, 2024",3:00 PM,6:00 PM,Gateway South 216,Eduardo Bonelli
CS 496_C,"Saturday, May 4, 2024",8:00 AM,11:00 AM,Burchard 111,Eduardo Bonelli
CS 496_D,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,Burchard 111,Eduardo Bonelli
CS 501_A,"Monday, May 6, 2024",7:00 PM,10:00 PM,North Building 105,Edward Banduk
CS 501_B,"Monday, May 6, 2024",7:00 PM,10:00 PM,Babbio 321,Edward Banduk
CS 505_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Carnegie 315,Dilip Krishnaswamy
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
CS 513_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Gateway South 216,Khashayar Dehnad
CS 513_B,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Kidde 228,Khashayar Dehnad
CS 515_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,McLean 114,Michael Greenberg
CS 516_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Burchard 104,Eric Koskinen
